,000000000f4919c9events,000000000f4919c9places,0000000019fb59c4events,0000000019fb59c4places,00000000342570c2events,00000000342570c2places,0000000038bf9618events,0000000038bf9618places,0000000038d83d41events,0000000038d83d41places,0000000053c6c2beevents,0000000053c6c2beplaces,000000006b087f40events,000000006b087f40places,000000007b5207b6events,000000007b5207b6places,00000000a53ed894events,00000000a53ed894places,00000000aa852af1events,00000000aa852af1places,00000000afef4555events,00000000afef4555places,00000000fb7600beevents,00000000fb7600beplaces,00000000fdda10feevents,00000000fdda10feplaces,00000000fffb8cf0events,00000000fffb8cf0places
152,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
153,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
154,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
155,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
156,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
157,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
158,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
159,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
160,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
161,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
162,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
163,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
164,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
165,11,1,0,0,0,0,0,0,8,1,0,0,12,1,4,0,0,0,10,1,13,1,8,0,13,1,2,0
166,11,1,0,0,0,0,0,0,8,1,0,0,12,1,4,0,0,0,10,1,13,1,8,0,13,1,2,0
167,11,1,0,0,0,0,0,0,8,1,0,0,12,1,4,0,0,0,10,1,13,1,8,0,13,1,2,0
168,11,1,0,0,0,0,0,0,8,1,0,0,12,1,4,0,0,0,10,1,13,1,8,0,13,1,2,0
169,11,1,0,0,0,0,0,0,8,1,0,0,12,1,4,0,0,0,10,1,13,1,8,0,13,1,2,0
170,11,1,0,0,0,0,0,0,8,1,0,0,12,1,4,0,0,0,10,1,13,1,8,0,13,1,2,0
171,11,1,0,0,0,0,0,0,8,1,0,0,12,1,4,0,0,0,10,1,13,1,8,0,13,1,2,0
172,11,1,0,0,0,0,0,0,8,1,0,0,12,1,4,0,0,0,10,1,13,1,8,0,13,1,2,0
173,11,1,0,0,0,0,0,0,8,1,0,0,12,1,4,0,0,0,10,1,13,1,8,0,13,1,2,0
174,11,1,0,0,0,0,0,0,8,1,0,0,12,1,4,0,0,0,10,1,13,1,8,0,13,1,2,0
175,11,1,0,0,0,0,0,0,8,1,0,0,12,1,4,0,0,0,10,1,13,1,8,0,13,1,2,0
176,11,1,0,0,0,0,0,0,8,1,0,0,12,1,4,0,0,0,10,1,13,1,8,0,13,1,2,0
177,11,1,0,0,0,0,0,0,8,1,0,0,12,1,4,0,0,0,10,1,13,1,8,0,13,1,2,0
178,11,1,0,0,0,0,0,0,8,1,0,0,12,1,4,0,0,0,10,1,13,1,8,0,13,1,2,0
179,11,1,0,0,0,0,0,0,8,1,0,0,12,1,4,0,0,0,10,1,13,1,8,0,13,1,2,0
180,11,2,0,0,0,1,0,0,8,1,0,0,12,2,4,0,0,0,10,1,13,2,8,0,13,2,2,0
181,11,2,0,0,0,1,0,0,8,1,0,0,12,2,4,0,0,0,10,1,13,2,8,0,13,2,2,0
182,11,2,0,0,0,1,0,0,8,1,0,0,12,2,4,0,0,0,10,1,13,2,8,0,13,2,2,0
183,11,2,0,0,0,1,0,0,8,1,0,0,12,2,4,0,0,0,10,1,13,2,8,0,13,2,2,0
184,11,2,0,0,0,1,0,0,8,1,0,0,12,2,4,0,0,0,10,1,13,2,8,0,13,2,2,0
185,11,2,0,0,0,1,0,0,8,1,0,0,12,2,4,0,0,0,10,1,13,2,8,0,13,2,2,0
186,11,2,0,0,0,1,0,0,8,1,0,0,12,2,4,0,0,0,10,1,13,2,8,0,13,2,2,0
187,11,2,0,0,0,1,0,0,8,1,0,0,12,2,4,0,0,0,10,1,13,2,8,0,13,2,2,0
188,11,2,0,0,0,1,0,0,8,1,0,0,12,2,4,0,0,0,10,1,13,2,8,0,13,2,2,0
189,11,2,0,0,0,1,0,0,8,1,0,0,12,2,4,0,0,0,10,1,13,2,8,0,13,2,2,0
190,11,2,0,0,0,1,0,0,8,1,0,0,12,2,4,0,0,0,10,1,13,2,8,0,13,2,2,0
191,11,2,0,0,0,1,0,0,8,1,0,0,12,2,4,0,0,0,10,1,13,2,8,0,13,2,2,0
192,11,2,0,0,0,1,0,0,8,1,0,0,12,2,4,0,0,0,10,1,13,2,8,0,13,2,2,0
193,11,2,0,0,0,1,0,0,8,1,0,0,12,2,4,0,0,0,10,1,13,2,8,0,13,2,2,0
194,11,2,0,0,0,1,0,0,8,1,0,0,12,2,4,0,0,0,10,1,13,2,8,0,13,2,2,0
195,11,12,0,0,0,2,0,1,8,12,0,1,12,14,4,4,0,0,10,10,13,14,8,6,13,15,2,0
196,11,12,0,0,0,2,0,1,8,12,0,1,12,14,4,4,0,0,10,10,13,14,8,6,13,15,2,0
197,11,12,0,0,0,2,0,1,8,12,0,1,12,14,4,4,0,0,10,10,13,14,8,6,13,15,2,0
198,11,12,0,0,0,2,0,1,8,12,0,1,12,14,4,4,0,0,10,10,13,14,8,6,13,15,2,0
199,11,12,0,0,0,2,0,1,8,12,0,1,12,14,4,4,0,0,10,10,13,14,8,6,13,15,2,0
200,11,12,0,0,0,2,0,1,8,12,0,1,12,14,4,4,0,0,10,10,13,14,8,6,13,15,2,0
201,11,12,0,0,0,2,0,1,8,12,0,1,12,14,4,4,0,0,10,10,13,14,8,6,13,15,2,0
202,11,12,0,0,0,2,0,1,8,12,0,1,12,14,4,4,0,0,10,10,13,14,8,6,13,15,2,0
203,11,12,0,0,0,2,0,1,8,12,0,1,12,14,4,4,0,0,10,10,13,14,8,6,13,15,2,0
204,11,12,0,0,0,2,0,1,8,12,0,1,12,14,4,4,0,0,10,10,13,14,8,6,13,15,2,0
205,11,12,0,0,0,2,0,1,8,12,0,1,12,14,4,4,0,0,10,10,13,14,8,6,13,15,2,0
206,11,12,0,0,0,2,0,1,8,12,0,1,12,14,4,4,0,0,10,10,13,14,8,6,13,15,2,0
207,11,12,0,0,0,2,0,1,8,12,0,1,12,14,4,4,0,0,10,10,13,14,8,6,13,15,2,0
208,11,12,0,0,0,2,0,1,8,12,0,1,12,14,4,4,0,0,10,10,13,14,8,6,13,15,2,0
209,11,12,0,0,0,2,0,1,8,12,0,1,12,14,4,4,0,0,10,10,13,14,8,6,13,15,2,0
210,11,21,0,0,0,3,0,2,8,20,0,1,12,23,4,4,0,0,10,17,13,23,8,8,13,25,2,0
211,11,21,0,0,0,3,0,2,8,20,0,1,12,23,4,4,0,0,10,17,13,23,8,8,13,25,2,0
212,11,21,0,0,0,3,0,2,8,20,0,1,12,23,4,4,0,0,10,17,13,23,8,8,13,25,2,0
213,11,21,0,0,0,3,0,2,8,20,0,1,12,23,4,4,0,0,10,17,13,23,8,8,13,25,2,0
214,11,21,0,0,0,3,0,2,8,20,0,1,12,23,4,4,0,0,10,17,13,23,8,8,13,25,2,0
215,11,21,0,0,0,3,0,2,8,20,0,1,12,23,4,4,0,0,10,17,13,23,8,8,13,25,2,0
216,11,21,0,0,0,3,0,2,8,20,0,1,12,23,4,4,0,0,10,17,13,23,8,8,13,25,2,0
217,11,21,0,0,0,3,0,2,8,20,0,1,12,23,4,4,0,0,10,17,13,23,8,8,13,25,2,0
218,11,21,0,0,0,3,0,2,8,20,0,1,12,23,4,4,0,0,10,17,13,23,8,8,13,25,2,0
219,11,21,0,0,0,3,0,2,8,20,0,1,12,23,4,4,0,0,10,17,13,23,8,8,13,25,2,0
220,11,21,0,0,0,3,0,2,8,20,0,1,12,23,4,4,0,0,10,17,13,23,8,8,13,25,2,0
