,time,0000000006dd41f6,000000000f4919c9,0000000019fb59c4,00000000342570c2,0000000038bf9618,0000000038d83d41,000000004ef3150d,0000000053c6c2be,00000000675d5200,000000006b087f40,000000006b44cce7,0000000074f765a7,000000007b5207b6,0000000096918cfa,00000000a53ed894,00000000aa852af1,00000000afef4555,00000000b33a8357,00000000cd16b8ef,00000000d747f075,00000000e8a064a4,00000000f1124bca,00000000fb7600be,00000000fdda10fe,00000000fffb8cf0
87,2019-08-10 02:54:00,4,1,0,6,1,10,0,2,0,3,38,0,4,0,25,9,3,0,0,0,2,0,9,13,3
88,2019-08-10 02:56:00,3,0,0,6,0,10,0,2,0,5,32,0,4,0,28,7,2,0,0,0,2,0,6,15,2
89,2019-08-10 02:58:00,4,0,1,8,0,10,0,2,6,4,39,0,0,0,28,7,1,0,0,0,2,0,8,14,3
90,2019-08-10 03:00:00,3,0,0,6,0,9,0,2,1,3,34,0,4,0,26,7,2,0,0,0,2,0,7,12,2
91,2019-08-10 03:02:00,4,0,0,9,0,10,0,2,0,4,36,0,4,0,27,10,2,0,0,0,2,0,6,15,2
92,2019-08-10 03:04:00,4,0,0,7,1,7,0,2,1,4,31,0,4,0,25,10,5,0,0,0,2,0,10,17,2
93,2019-08-10 03:06:00,4,0,1,6,0,9,0,2,4,6,40,0,0,0,26,7,3,0,0,0,2,0,12,16,2
94,2019-08-10 03:08:00,4,0,0,6,0,9,0,2,1,4,48,0,4,0,27,6,2,0,0,0,2,0,9,17,2
95,2019-08-10 03:10:00,5,0,1,6,0,8,0,3,0,4,30,0,4,0,27,7,0,0,0,2,2,0,4,14,2
96,2019-08-10 03:12:00,4,0,0,6,0,8,0,2,0,3,35,0,4,0,28,4,4,0,0,0,4,0,9,16,2
97,2019-08-10 03:14:00,6,0,0,6,1,8,0,2,5,4,37,0,0,0,28,7,4,0,0,0,2,0,9,18,2
98,2019-08-10 03:16:00,4,0,1,6,0,9,0,2,1,6,43,0,4,0,26,6,4,0,0,0,4,0,8,15,2
99,2019-08-10 03:18:00,5,0,0,7,1,5,0,3,0,8,45,0,4,0,27,4,3,0,0,0,2,0,8,16,2
100,2019-08-10 03:20:00,5,0,0,7,0,13,0,3,4,4,41,0,0,0,29,4,2,0,0,0,2,0,5,13,2
101,2019-08-10 03:22:00,3,0,2,8,2,10,0,2,4,4,44,0,0,0,28,4,2,0,0,0,2,0,8,15,2
102,2019-08-10 03:24:00,4,0,0,8,0,7,0,4,1,4,35,0,4,0,29,4,2,0,0,0,3,0,8,13,2
103,2019-08-10 03:26:00,3,0,1,7,1,10,0,4,1,6,42,0,4,2,26,4,4,0,0,0,3,0,11,12,2
104,2019-08-10 03:28:00,3,0,2,6,0,14,0,4,3,4,36,0,4,1,26,4,3,0,0,0,1,0,6,14,2
105,2019-08-10 03:30:00,5,0,1,6,0,12,0,3,5,8,43,0,0,3,25,4,3,0,0,0,4,0,8,17,2
