,time,variable,value
289,16/8/2019 0:30,0000000006dd41f6,11
290,16/8/2019 1:00,0000000006dd41f6,9
291,16/8/2019 1:30,0000000006dd41f6,13
292,16/8/2019 2:00,0000000006dd41f6,8
293,16/8/2019 2:30,0000000006dd41f6,11
294,16/8/2019 3:00,0000000006dd41f6,9
295,16/8/2019 3:30,0000000006dd41f6,11
296,16/8/2019 4:00,0000000006dd41f6,15
297,16/8/2019 4:30,0000000006dd41f6,50
298,16/8/2019 5:00,0000000006dd41f6,88
299,16/8/2019 5:30,0000000006dd41f6,92
300,16/8/2019 6:00,0000000006dd41f6,107
301,16/8/2019 6:30,0000000006dd41f6,103
302,16/8/2019 7:00,0000000006dd41f6,64
303,16/8/2019 7:30,0000000006dd41f6,57
304,16/8/2019 8:00,0000000006dd41f6,64
305,16/8/2019 8:30,0000000006dd41f6,48
306,16/8/2019 9:00,0000000006dd41f6,22
307,16/8/2019 9:30,0000000006dd41f6,28
308,16/8/2019 10:00,0000000006dd41f6,44
309,16/8/2019 10:30,0000000006dd41f6,68
310,16/8/2019 11:00,0000000006dd41f6,83
311,16/8/2019 11:30,0000000006dd41f6,74
312,16/8/2019 12:00,0000000006dd41f6,113
313,16/8/2019 12:30,0000000006dd41f6,97
314,16/8/2019 13:00,0000000006dd41f6,108
315,16/8/2019 13:30,0000000006dd41f6,121
316,16/8/2019 14:00,0000000006dd41f6,83
317,16/8/2019 14:30,0000000006dd41f6,6
318,16/8/2019 15:00,0000000006dd41f6,4
319,16/8/2019 15:30,0000000006dd41f6,6
320,16/8/2019 16:00,0000000006dd41f6,12
321,16/8/2019 16:30,0000000006dd41f6,5
322,16/8/2019 17:00,0000000006dd41f6,4
323,16/8/2019 17:30,0000000006dd41f6,5
324,16/8/2019 18:00,0000000006dd41f6,4
325,16/8/2019 18:30,0000000006dd41f6,8
326,16/8/2019 19:00,0000000006dd41f6,1
327,16/8/2019 19:30,0000000006dd41f6,4
328,16/8/2019 20:00,0000000006dd41f6,7
329,16/8/2019 20:30,0000000006dd41f6,5
330,16/8/2019 21:00,0000000006dd41f6,4
331,16/8/2019 21:30,0000000006dd41f6,4
332,16/8/2019 22:00,0000000006dd41f6,3
333,16/8/2019 22:30,0000000006dd41f6,4
334,16/8/2019 23:00,0000000006dd41f6,4
335,16/8/2019 23:30,0000000006dd41f6,3
336,17/8/2019 0:00,0000000006dd41f6,8
337,17/8/2019 0:30,0000000006dd41f6,4
338,17/8/2019 1:00,0000000006dd41f6,3
339,17/8/2019 1:30,0000000006dd41f6,3
340,17/8/2019 2:00,0000000006dd41f6,4
341,17/8/2019 2:30,0000000006dd41f6,3
342,17/8/2019 3:00,0000000006dd41f6,3
343,17/8/2019 3:30,0000000006dd41f6,4
344,17/8/2019 4:00,0000000006dd41f6,5
345,17/8/2019 4:30,0000000006dd41f6,2
346,17/8/2019 5:00,0000000006dd41f6,11
347,17/8/2019 5:30,0000000006dd41f6,45
348,17/8/2019 6:00,0000000006dd41f6,51
349,17/8/2019 6:30,0000000006dd41f6,48
350,17/8/2019 7:00,0000000006dd41f6,44
351,17/8/2019 7:30,0000000006dd41f6,18
352,17/8/2019 8:00,0000000006dd41f6,30
353,17/8/2019 8:30,0000000006dd41f6,36
354,17/8/2019 9:00,0000000006dd41f6,26
355,17/8/2019 9:30,0000000006dd41f6,40
356,17/8/2019 10:00,0000000006dd41f6,32
357,17/8/2019 10:30,0000000006dd41f6,39
358,17/8/2019 11:00,0000000006dd41f6,47
359,17/8/2019 11:30,0000000006dd41f6,61
360,17/8/2019 12:00,0000000006dd41f6,49
361,17/8/2019 12:30,0000000006dd41f6,63
362,17/8/2019 13:00,0000000006dd41f6,37
363,17/8/2019 13:30,0000000006dd41f6,37
364,17/8/2019 14:00,0000000006dd41f6,54
365,17/8/2019 14:30,0000000006dd41f6,61
366,17/8/2019 15:00,0000000006dd41f6,53
367,17/8/2019 15:30,0000000006dd41f6,44
368,17/8/2019 16:00,0000000006dd41f6,53
369,17/8/2019 16:30,0000000006dd41f6,41
370,17/8/2019 17:00,0000000006dd41f6,6
371,17/8/2019 17:30,0000000006dd41f6,5
372,17/8/2019 18:00,0000000006dd41f6,6
373,17/8/2019 18:30,0000000006dd41f6,4
374,17/8/2019 19:00,0000000006dd41f6,6
375,17/8/2019 19:30,0000000006dd41f6,2
376,17/8/2019 20:00,0000000006dd41f6,7
377,17/8/2019 20:30,0000000006dd41f6,3
378,17/8/2019 21:00,0000000006dd41f6,3
379,17/8/2019 21:30,0000000006dd41f6,6
380,17/8/2019 22:00,0000000006dd41f6,1
381,17/8/2019 22:30,0000000006dd41f6,2
382,17/8/2019 23:00,0000000006dd41f6,3
383,17/8/2019 23:30,0000000006dd41f6,4
384,18/8/2019 0:00,0000000006dd41f6,4
385,18/8/2019 0:30,0000000006dd41f6,5
386,18/8/2019 1:00,0000000006dd41f6,4
387,18/8/2019 1:30,0000000006dd41f6,5
388,18/8/2019 2:00,0000000006dd41f6,5
389,18/8/2019 2:30,0000000006dd41f6,5
390,18/8/2019 3:00,0000000006dd41f6,4
391,18/8/2019 3:30,0000000006dd41f6,2
392,18/8/2019 4:00,0000000006dd41f6,3
393,18/8/2019 4:30,0000000006dd41f6,1
394,18/8/2019 5:00,0000000006dd41f6,59
395,18/8/2019 5:30,0000000006dd41f6,73
396,18/8/2019 6:00,0000000006dd41f6,89
397,18/8/2019 6:30,0000000006dd41f6,84
398,18/8/2019 7:00,0000000006dd41f6,79
399,18/8/2019 7:30,0000000006dd41f6,70
400,18/8/2019 8:00,0000000006dd41f6,71
401,18/8/2019 8:30,0000000006dd41f6,44
402,18/8/2019 9:00,0000000006dd41f6,47
403,18/8/2019 9:30,0000000006dd41f6,54
404,18/8/2019 10:00,0000000006dd41f6,63
405,18/8/2019 10:30,0000000006dd41f6,39
406,18/8/2019 11:00,0000000006dd41f6,52
407,18/8/2019 11:30,0000000006dd41f6,91
408,18/8/2019 12:00,0000000006dd41f6,98
409,18/8/2019 12:30,0000000006dd41f6,109
410,18/8/2019 13:00,0000000006dd41f6,109
411,18/8/2019 13:30,0000000006dd41f6,91
412,18/8/2019 14:00,0000000006dd41f6,13
413,18/8/2019 14:30,0000000006dd41f6,11
414,18/8/2019 15:00,0000000006dd41f6,13
415,18/8/2019 15:30,0000000006dd41f6,17
416,18/8/2019 16:00,0000000006dd41f6,23
417,18/8/2019 16:30,0000000006dd41f6,7
418,18/8/2019 17:00,0000000006dd41f6,49
419,18/8/2019 17:30,0000000006dd41f6,10
420,18/8/2019 18:00,0000000006dd41f6,12
421,18/8/2019 18:30,0000000006dd41f6,12
422,18/8/2019 19:00,0000000006dd41f6,15
423,18/8/2019 19:30,0000000006dd41f6,6
424,18/8/2019 20:00,0000000006dd41f6,6
