Year,m,d,Time,Time zone,Cloud amount (1/8),Pressure (msl) (hPa),Relative humidity (%),Precipitation intensity (mm/h),Snow depth (cm),Air temperature (degC),Dew-point temperature (degC),Horizontal visibility (m),Wind direction (deg),Gust speed (m/s),Wind speed (m/s)
2019,8,10,00:00,UTC,0,1012,95,0,-1,13.2,12.4,20530,9,0.8,0.5
2019,8,10,00:10,UTC,0,1012,95,0,-1,13.1,12.4,19550,345,1.4,0.9
2019,8,10,00:20,UTC,0,1012,96,0,-1,13.1,12.5,18670,329,1.5,1
2019,8,10,00:30,UTC,0,1012.1,96,0,-1,13.1,12.5,19660,338,1.3,0.9
2019,8,10,00:40,UTC,0,1012,96,0,-1,13,12.4,16100,350,1.3,0.9
2019,8,10,00:50,UTC,0,1012,96,0,-1,12.9,12.3,19650,38,1.4,0.8
2019,8,10,01:00,UTC,0,1012,96,0,-1,12.8,12.3,18820,37,1.2,0.7
2019,8,10,01:10,UTC,0,1012,96,0,-1,12.7,12.2,18270,33,1.7,0.8
2019,8,10,01:20,UTC,0,1012,96,0,-1,12.7,12.1,21340,69,1.5,0.8
2019,8,10,01:30,UTC,0,1012.1,96,0,-1,12.6,12,20310,51,1.6,1
2019,8,10,01:40,UTC,0,1012.2,97,0,-1,12.6,12.1,17300,41,1.7,0.9
2019,8,10,01:50,UTC,0,1012.2,97,0,-1,12.6,12.1,17260,50,2.1,1.1
2019,8,10,02:00,UTC,0,1012.2,97,0,-1,12.7,12.2,13830,37,1.2,0.6
2019,8,10,02:10,UTC,0,1012.1,97,0,-1,12.5,12.1,17110,38,1.2,0.5
2019,8,10,02:20,UTC,0,1012.3,97,0,-1,12.5,12,15280,73,1.6,0.8
2019,8,10,02:30,UTC,0,1012.3,97,0,-1,12.5,12.1,14710,43,1.2,0.6
2019,8,10,02:40,UTC,0,1012.3,97,0,-1,12.5,12.1,15050,17,1.4,0.9
2019,8,10,02:50,UTC,0,1012.4,97,0,-1,12.6,12.1,16600,28,1.4,0.8
2019,8,10,03:00,UTC,0,1012.5,97,0,-1,12.6,12.2,17320,12,1.1,0.6
2019,8,10,03:10,UTC,0,1012.5,97,0,-1,12.6,12.1,18280,0,0,0
2019,8,10,03:20,UTC,0,1012.6,97,0,-1,12.8,12.3,21080,0,0,0
2019,8,10,03:30,UTC,0,1012.7,97,0,-1,13.1,12.6,27270,132,2.2,1.2
